year,sdg,country_count
1972,1,0
1972,2,0
1972,3,1
1972,4,2
1972,5,0
1972,6,2
1972,7,0
1972,8,0
1972,9,1
1972,10,1
1972,11,2
1972,12,0
1972,13,0
1972,14,0
1972,15,0
1972,16,1
1972,17,0
1973,1,0
1973,2,0
1973,3,0
1973,4,1
1973,5,0
1973,6,0
1973,7,0
1973,8,0
1973,9,0
1973,10,0
1973,11,0
1973,12,0
1973,13,0
1973,14,0
1973,15,1
1973,16,2
1973,17,0
1974,1,0
1974,2,0
1974,3,1
1974,4,1
1974,5,0
1974,6,0
1974,7,0
1974,8,1
1974,9,0
1974,10,1
1974,11,1
1974,12,0
1974,13,0
1974,14,0
1974,15,1
1974,16,1
1974,17,0
1975,1,0
1975,2,0
1975,3,0
1975,4,0
1975,5,0
1975,6,0
1975,7,0
1975,8,1
1975,9,0
1975,10,0
1975,11,2
1975,12,0
1975,13,0
1975,14,0
1975,15,0
1975,16,1
1975,17,0
1976,1,0
1976,2,0
1976,3,0
1976,4,1
1976,5,0
1976,6,0
1976,7,0
1976,8,3
1976,9,0
1976,10,1
1976,11,1
1976,12,1
1976,13,0
1976,14,0
1976,15,0
1976,16,1
1976,17,0
1977,1,0
1977,2,0
1977,3,1
1977,4,0
1977,5,0
1977,6,0
1977,7,0
1977,8,1
1977,9,0
1977,10,2
1977,11,3
1977,12,0
1977,13,0
1977,14,0
1977,15,0
1977,16,1
1977,17,0
1978,1,3
1978,2,2
1978,3,1
1978,4,1
1978,5,0
1978,6,0
1978,7,0
1978,8,2
1978,9,1
1978,10,3
1978,11,0
1978,12,0
1978,13,0
1978,14,0
1978,15,0
1978,16,1
1978,17,0
1979,1,1
1979,2,1
1979,3,1
1979,4,0
1979,5,0
1979,6,0
1979,7,0
1979,8,1
1979,9,0
1979,10,2
1979,11,1
1979,12,1
1979,13,0
1979,14,1
1979,15,0
1979,16,1
1979,17,0
1980,1,2
1980,2,1
1980,3,2
1980,4,1
1980,5,0
1980,6,1
1980,7,0
1980,8,1
1980,9,2
1980,10,2
1980,11,2
1980,12,0
1980,13,0
1980,14,0
1980,15,1
1980,16,1
1980,17,0
1981,1,2
1981,2,1
1981,3,1
1981,4,2
1981,5,0
1981,6,1
1981,7,2
1981,8,3
1981,9,1
1981,10,1
1981,11,1
1981,12,0
1981,13,0
1981,14,0
1981,15,1
1981,16,0
1981,17,1
1982,1,0
1982,2,1
1982,3,2
1982,4,0
1982,5,0
1982,6,0
1982,7,0
1982,8,3
1982,9,0
1982,10,1
1982,11,3
1982,12,0
1982,13,0
1982,14,0
1982,15,1
1982,16,1
1982,17,0
1983,1,3
1983,2,0
1983,3,1
1983,4,1
1983,5,1
1983,6,0
1983,7,0
1983,8,3
1983,9,0
1983,10,1
1983,11,0
1983,12,0
1983,13,0
1983,14,0
1983,15,0
1983,16,1
1983,17,0
1984,1,4
1984,2,1
1984,3,1
1984,4,1
1984,5,1
1984,6,0
1984,7,0
1984,8,3
1984,9,0
1984,10,1
1984,11,2
1984,12,1
1984,13,0
1984,14,0
1984,15,1
1984,16,0
1984,17,0
1985,1,2
1985,2,0
1985,3,1
1985,4,0
1985,5,1
1985,6,1
1985,7,0
1985,8,2
1985,9,0
1985,10,1
1985,11,2
1985,12,0
1985,13,0
1985,14,1
1985,15,1
1985,16,0
1985,17,0
1986,1,3
1986,2,2
1986,3,2
1986,4,1
1986,5,1
1986,6,0
1986,7,0
1986,8,3
1986,9,1
1986,10,4
1986,11,3
1986,12,0
1986,13,0
1986,14,0
1986,15,2
1986,16,2
1986,17,0
1987,1,2
1987,2,0
1987,3,3
1987,4,0
1987,5,0
1987,6,0
1987,7,0
1987,8,0
1987,9,0
1987,10,1
1987,11,1
1987,12,1
1987,13,0
1987,14,0
1987,15,3
1987,16,0
1987,17,0
1988,1,2
1988,2,1
1988,3,3
1988,4,2
1988,5,0
1988,6,0
1988,7,0
1988,8,3
1988,9,0
1988,10,1
1988,11,2
1988,12,0
1988,13,0
1988,14,0
1988,15,0
1988,16,2
1988,17,0
1989,1,1
1989,2,0
1989,3,2
1989,4,1
1989,5,1
1989,6,0
1989,7,0
1989,8,3
1989,9,0
1989,10,3
1989,11,1
1989,12,2
1989,13,1
1989,14,0
1989,15,3
1989,16,2
1989,17,1
1990,1,4
1990,2,0
1990,3,1
1990,4,1
1990,5,2
1990,6,2
1990,7,0
1990,8,3
1990,9,0
1990,10,2
1990,11,1
1990,12,0
1990,13,0
1990,14,0
1990,15,3
1990,16,4
1990,17,0
1991,1,6
1991,2,1
1991,3,2
1991,4,2
1991,5,1
1991,6,0
1991,7,0
1991,8,3
1991,9,0
1991,10,2
1991,11,1
1991,12,1
1991,13,1
1991,14,0
1991,15,3
1991,16,2
1991,17,1
1992,1,5
1992,2,1
1992,3,4
1992,4,1
1992,5,1
1992,6,1
1992,7,0
1992,8,5
1992,9,0
1992,10,3
1992,11,3
1992,12,1
1992,13,0
1992,14,0
1992,15,3
1992,16,4
1992,17,1
1993,1,5
1993,2,3
1993,3,3
1993,4,2
1993,5,1
1993,6,0
1993,7,0
1993,8,2
1993,9,0
1993,10,3
1993,11,2
1993,12,1
1993,13,0
1993,14,0
1993,15,3
1993,16,2
1993,17,0
1994,1,0
1994,2,2
1994,3,4
1994,4,2
1994,5,5
1994,6,1
1994,7,0
1994,8,4
1994,9,0
1994,10,2
1994,11,2
1994,12,0
1994,13,1
1994,14,0
1994,15,2
1994,16,2
1994,17,1
1995,1,3
1995,2,2
1995,3,2
1995,4,3
1995,5,3
1995,6,0
1995,7,0
1995,8,3
1995,9,1
1995,10,3
1995,11,3
1995,12,0
1995,13,1
1995,14,0
1995,15,3
1995,16,3
1995,17,1
1996,1,6
1996,2,2
1996,3,4
1996,4,4
1996,5,4
1996,6,1
1996,7,0
1996,8,4
1996,9,2
1996,10,4
1996,11,4
1996,12,0
1996,13,1
1996,14,0
1996,15,5
1996,16,4
1996,17,1
1997,1,3
1997,2,4
1997,3,3
1997,4,4
1997,5,5
1997,6,2
1997,7,1
1997,8,5
1997,9,1
1997,10,4
1997,11,3
1997,12,2
1997,13,1
1997,14,1
1997,15,4
1997,16,6
1997,17,1
1998,1,5
1998,2,4
1998,3,6
1998,4,4
1998,5,4
1998,6,2
1998,7,1
1998,8,5
1998,9,2
1998,10,5
1998,11,3
1998,12,2
1998,13,1
1998,14,1
1998,15,5
1998,16,5
1998,17,3
1999,1,6
1999,2,6
1999,3,9
1999,4,5
1999,5,4
1999,6,2
1999,7,0
1999,8,9
1999,9,3
1999,10,6
1999,11,4
1999,12,2
1999,13,6
1999,14,2
1999,15,5
1999,16,7
1999,17,2
2000,1,8
2000,2,3
2000,3,6
2000,4,6
2000,5,3
2000,6,3
2000,7,3
2000,8,10
2000,9,5
2000,10,6
2000,11,4
2000,12,3
2000,13,5
2000,14,2
2000,15,6
2000,16,7
